2026-03-26 17:13:53.778 [info] Starting Excalidraw MCP server...
2026-03-26 17:13:53.789 [debug] Connecting to transport...
2026-03-26 17:13:53.792 [info] Excalidraw MCP server running on stdio
2026-03-26 17:13:53.845 [info] Listing available tools
2026-04-05 13:02:18.666 [info] Starting Excalidraw MCP server...
2026-04-05 13:02:18.672 [debug] Connecting to transport...
2026-04-05 13:02:18.809 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.809 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.810 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.811 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.811 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.812 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.812 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.813 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.813 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.814 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.828 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.829 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.842 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.843 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.843 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.844 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.845 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.845 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.846 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.846 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.847 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.854 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.855 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.856 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.857 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.858 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.859 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.859 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.860 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.861 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.861 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.862 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.862 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.863 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.864 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.867 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.869 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.872 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.873 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.874 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.875 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.876 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.876 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.877 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.878 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.878 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.879 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.880 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.880 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.886 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.892 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.894 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.895 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.896 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.896 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.897 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.897 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.911 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.913 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.927 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.928 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.929 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.929 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.930 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.934 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.936 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.941 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.942 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.942 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.943 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.944 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.945 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.946 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.947 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.948 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.955 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.957 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.958 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.959 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.960 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.961 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.962 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.963 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.963 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.974 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.975 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.978 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.980 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.980 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.981 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.987 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.993 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.996 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:18.997 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.013 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.023 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.025 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.026 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.026 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.027 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.029 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.030 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.031 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.042 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.047 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.058 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.062 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.064 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.070 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.078 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.079 [error] Uncaught exception: EPIPE: broken pipe, write
2026-04-05 13:02:19.081 [error] Uncaught exception: EPIPE: broken pipe, write
